AAA Marketing Ltd,Mesimarjakuja 3,90460 Oulunsalo,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/aaa-marketing-ltd.html
ADP Dealer Services Finland Ltd,Nahkatehtaankatu 2,90130 Oulu,Large corporation,http://www.businessoulu.com/en/company-services/online-services/company-database/company/adp-dealer-services-finland-ltd.html
Aidox Ltd,Tuotekuja 5,90410 Oulu,Aidox is based in Oulu, Finland, a world class center of mobile telecommunications. Aidox has state-of-the art design and testing facilities for antenna design and customer support.,http://www.businessoulu.com/en/company-services/online-services/company-database/company/aidox-ltd.html
Aquator Ltd,Tyitie 1,90620 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/aquator-ltd.html
Arizona Chemical Ltd,Nuottasaarentie 17,90400 Oulu,Large corporation,http://www.businessoulu.com/en/company-services/online-services/company-database/company/arizona-chemical-ltd.html
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/asianajotoimisto-asianajaja-juha-ryynanen-ltd.html
Asianajotoimisto Ferenda Ltd,Hallituskatu 9 T 2,90100 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/asianajotoimisto-ferenda-ltd.html
Aspocomp Oulu Ltd,Tutkijantie 11,90590 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/aspocomp-oulu-ltd.html
Ateljee-AR,Kauurienkatu 9 A 4,90100 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/ateljee-ar.html
BBS-Bioactive Bone Substitutes Ltd,Kiviharjunlenkki 6,90220 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/bbs-bioactive-bone-substitutes-ltd.html
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/biosilta-ltd.html
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/braggone-ltd.html
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/bt-wood-ltd.html
CadFaster Ltd,Pakkahuoneenkatu 12 B 21,90100 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/cadfaster-ltd.html
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/cadworks-ltd.html
Catella Property Ltd,Kirkkokatu 6,90100 Oulu,Large corporation,http://www.businessoulu.com/en/company-services/online-services/company-database/company/catella-property-ltd.html?p5286=2
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/chempolis-ltd.html?p5286=2
Conseptas Ltd,Tietotie 2,90460 Oulunsalo,CleantechICT & NanoLifeSciencesCreative industriesIndustry,http://www.businessoulu.com/en/company-services/online-services/company-database/company/conseptas-ltd.html?p5286=2
Corame Ltd,Kasarmintie 15,90130 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/corame-ltd.html?p5286=2
Cor Group Ltd,Kasarmintie 15,90130 Oulu,Large corporation,http://www.businessoulu.com/en/company-services/online-services/company-database/company/cor-group-ltd.html?p5286=2
Coronaria Hoitoketju Ltd,Kasarmintie 15,90130 Oulu,LifeSciences,http://www.businessoulu.com/en/company-services/online-services/company-database/company/coronaria-hoitoketju-ltd.html?p5286=2
Creowave Ltd,Lentokatu 2,90460 Oulunsalo,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/creowave-ltd.html?p5286=2
Kemian Tutkimuspalvelut Ltd,Tyitie 1,90620 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/kemian-tutkimuspalvelut-ltd.html?p5286=2
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/cygate-ltd.html?p5286=2
Darepro Ltd,Mallastie 1,90520 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/darepro-ltd.html?p5286=2
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/design-bod.html?p5286=2
DNA Ltd,Arkistokatu 4,90100 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/dna-ltd.html?p5286=2
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/ecolator-finland-ltd.html?p5286=2
EHP-Tekniikka Ltd,Automaatiotie 1,90460 Oulunsalo,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/ehp-tekniikka-ltd.html?p5286=2
Faarao Ltd,Kauurienkatu 31 A,90100 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/faarao-ltd.html?p5286=2
Fantastec Ltd,Nahkatehtaankatu 2,90130 Oulu,Two year old Fantastec is the winner of Innovative business idea competition and finalist of e-learning competition eEemeli (2010). Fantastec was nominated third most interesting Finnish ICT company at Zero To IPO investor forum (China, December 2011).,http://www.businessoulu.com/en/company-services/online-services/company-database/company/fantastec-ltd.html?p5286=3
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/focalspec-ltd.html?p5286=3
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/tilitoimisto-forandi-ltd.html?p5286=3
Forex Bank,Kauurienkatu 13,90100 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/forex-bank.html?p5286=3
Fudeco Ltd,Isokatu 32 B,90100 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/fudeco-ltd.html?p5286=3
Galaxo Ltd,Kauurienkatu 23,90100 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/galaxo-ltd.html?p5286=3
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/google-rd-site.html?p5286=3
Gouru Ltd,Krouvintie 7 A,90400 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/gouru-ltd.html?p5286=3
Greenstep Ltd,Elektroniikkatie 3,90590 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/greenstep-ltd.html?p5286=3
GasEK Ltd,Teknologiantie 1,90590 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/gasek-ltd.html?p5286=3
HealthEx Oulu Ltd,Kirkkokatu 33,90100 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/healthex-oulu-ltd.html?p5286=3
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/basware-corp..html?p5286=3
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/beweship-ltd.html?p5286=3
Finpeda,Kuuraarrantie 13 C 8,90630 Oulu,SME,http://www.businessoulu.com/en/company-services/online-services/company-database/company/finpeda.html?p5286=3
F-Secure Corp.,Elektroniikkatie 3,90590 Oulu,F-Secure is the global leader in providing security as a service through operators. F-Secure is now also expanding into Content Cloud space and offering tremendous opportunities for operators and their customers in providing a compelling range of solutions that are tailored to the needs of the Operator Community that goes beyond Internet security.,http://www.businessoulu.com/en/company-services/online-services/company-database/company/f-secure-corp..html?p5286=3
,,,,http://www.businessoulu.com/en/company-services/online-services/company-database/company/hewlett-packard-ltd.html?p5286=4
Hi-Col Ltd,PL 90,90101 Oulu,Micro-company,http://www.businessoulu.com/en/company-services/online-services/company-database/company/hi-col-ltd.html?p5286=4
Holiday Inn Oulu,Kirkkokatu 3,90100 Oulu,Large corporation,http://www.businessoulu.com/en/company-services/online-services/company-database/company/holiday-inn-oulu.html?p5286=4
